chunk_id,lecture_id,page,word_count,topic_guess
lecture_1_p1_c1,lecture_1,1,10,Large Language Models Fundamentals
lecture_1_p2_c1,lecture_1,2,71,Large Language Models Fundamentals
lecture_1_p3_c1,lecture_1,3,46,Prompt Engineering & In-Context Learning
lecture_1_p4_c1,lecture_1,4,57,Large Language Models Fundamentals
lecture_1_p5_c1,lecture_1,5,32,Large Language Models Fundamentals
lecture_1_p6_c1,lecture_1,6,11,Large Language Models Fundamentals
lecture_1_p7_c1,lecture_1,7,6,Large Language Models Fundamentals
lecture_1_p8_c1,lecture_1,8,42,Large Language Models Fundamentals
lecture_1_p9_c1,lecture_1,9,6,Large Language Models Fundamentals
lecture_1_p10_c1,lecture_1,10,4,Large Language Models Fundamentals
lecture_1_p11_c1,lecture_1,11,30,Large Language Models Fundamentals
lecture_1_p12_c1,lecture_1,12,11,Large Language Models Fundamentals
lecture_1_p13_c1,lecture_1,13,77,Large Language Models Fundamentals
lecture_1_p14_c1,lecture_1,14,20,Large Language Models Fundamentals
lecture_1_p15_c1,lecture_1,15,31,Large Language Models Fundamentals
lecture_1_p16_c1,lecture_1,16,55,Large Language Models Fundamentals
lecture_1_p17_c1,lecture_1,17,37,LLM Pre-training & Training Objectives
lecture_1_p18_c1,lecture_1,18,21,Large Language Models Fundamentals
lecture_1_p19_c1,lecture_1,19,21,Large Language Models Fundamentals
lecture_1_p20_c1,lecture_1,20,21,Large Language Models Fundamentals
lecture_1_p21_c1,lecture_1,21,75,Transformer Architecture & Attention
lecture_1_p22_c1,lecture_1,22,29,Large Language Models Fundamentals
lecture_1_p23_c1,lecture_1,23,63,Tokenization & Vocabulary
lecture_1_p24_c1,lecture_1,24,73,Tokenization & Vocabulary
lecture_1_p25_c1,lecture_1,25,34,Large Language Models Fundamentals
lecture_1_p26_c1,lecture_1,26,4,Large Language Models Fundamentals
lecture_1_p27_c1,lecture_1,27,28,Transformer Architecture & Attention
lecture_1_p28_c1,lecture_1,28,25,Transformer Architecture & Attention
lecture_1_p29_c1,lecture_1,29,3,Transformer Architecture & Attention
lecture_1_p30_c1,lecture_1,30,34,Transformer Architecture & Attention
lecture_1_p31_c1,lecture_1,31,31,Transformer Architecture & Attention
lecture_1_p32_c1,lecture_1,32,30,Transformer Architecture & Attention
lecture_1_p33_c1,lecture_1,33,37,Transformer Architecture & Attention
lecture_1_p34_c1,lecture_1,34,56,Large Language Models Fundamentals
lecture_1_p35_c1,lecture_1,35,74,Transformer Architecture & Attention
lecture_1_p36_c1,lecture_1,36,2,Large Language Models Fundamentals
lecture_1_p37_c1,lecture_1,37,73,Prompt Engineering & In-Context Learning
lecture_1_p38_c1,lecture_1,38,72,Transformer Architecture & Attention
lecture_1_p39_c1,lecture_1,39,5,Prompt Engineering & In-Context Learning
lecture_1_p40_c1,lecture_1,40,46,Prompt Engineering & In-Context Learning
lecture_1_p41_c1,lecture_1,41,25,Prompt Engineering & In-Context Learning
lecture_1_p42_c1,lecture_1,42,28,Prompt Engineering & In-Context Learning
lecture_1_p43_c1,lecture_1,43,45,Prompt Engineering & In-Context Learning
lecture_1_p44_c1,lecture_1,44,61,Prompt Engineering & In-Context Learning
lecture_1_p45_c1,lecture_1,45,77,Prompt Engineering & In-Context Learning
lecture_1_p46_c1,lecture_1,46,6,Large Language Models Fundamentals
lecture_1_p47_c1,lecture_1,47,24,Tokenization & Vocabulary
lecture_1_p48_c1,lecture_1,48,15,Tokenization & Vocabulary
lecture_1_p49_c1,lecture_1,49,70,Tokenization & Vocabulary
lecture_1_p50_c1,lecture_1,50,70,Tokenization & Vocabulary
lecture_1_p51_c1,lecture_1,51,25,Tokenization & Vocabulary
lecture_1_p52_c1,lecture_1,52,32,Large Language Models Fundamentals
lecture_1_p53_c1,lecture_1,53,41,Large Language Models Fundamentals
lecture_1_p54_c1,lecture_1,54,22,Tokenization & Vocabulary
lecture_1_p55_c1,lecture_1,55,45,Large Language Models Fundamentals
lecture_1_p56_c1,lecture_1,56,3,Large Language Models Fundamentals
lecture_1_p57_c1,lecture_1,57,2,Large Language Models Fundamentals
lecture_1_p58_c1,lecture_1,58,2,Large Language Models Fundamentals
lecture_1_p59_c1,lecture_1,59,21,LLM Agents & Multi-Agent Systems
lecture_1_p60_c1,lecture_1,60,2,Large Language Models Fundamentals
